County,TotalERCount
Adair,4657
Andrew,1772
Atchison,1561
Audrain,6018
Barry,9948
Barton,3828
Bates,4309
Benton,3377
Bollinger,2446
Boone,24978
Buchanan,18829
Butler,9819
Caldwell,2039
Callaway,8728
Camden,7391
Cape Girardeau,15076
Carroll,2808
Carter,1360
Cass,17273
Cedar,3926
Chariton,1331
Christian,11292
Clark,321
Clay,38549
Clinton,3706
Cole,13272
Cooper,3496
Crawford,6797
Dade,1297
Dallas,3138
Daviess,1648
DeKalb,1791
Dent,6430
Douglas,1432
Dunklin,11169
Franklin,23066
Gasconade,3434
Gentry,1475
Greene,62821
Grundy,3968
Harrison,2800
Henry,5766
Hickory,1641
Holt,806
Howard,1406
Howell,9893
Iron,2504
Jackson,191655
Jasper,37375
Jefferson,29471
Johnson,7878
Knox,631
Laclede,9898
Lafayette,7696
Lawrence,9593
Lewis,440
Lincoln,13677
Linn,4199
Livingston,4800
Macon,2532
Madison,4852
Maries,974
Marion,5635
McDonald,3881
Mercer,829
Miller,4901
Mississippi,3704
Moniteau,2145
Monroe,1364
Montgomery,2428
Morgan,3287
New Madrid,4711
Newton,14352
Nodaway,3300
Oregon,1761
Osage,1608
Ozark,860
Pemiscot,7142
Perry,6531
Pettis,8458
Phelps,9929
Pike,4303
Platte,11310
Polk,7670
Pulaski,5610
Putnam,1763
Ralls,1158
Randolph,6458
Ray,5103
Reynolds,2241
Ripley,4689
Saline,5449
Schuyler,881
Scotland,1201
Scott,10989
Shannon,2115
Shelby,813
St. Charles,52817
St. Clair,2343
St. Francois,22832
St. Louis City,98246
St. Louis County,173584
Ste. Genevieve,4390
Stoddard,7561
Stone,5314
Sullivan,2128
Taney,13587
Texas,6265
Vernon,5899
Warren,6306
Washington,9648
Wayne,2404
Webster,5477
Worth,318
Wright,3479